# x,y,Eg(eV)
0.000000000000000000e+00,0.000000000000000000e+00,1.518999999999999906e+00
0.000000000000000000e+00,2.500000000000000000e-01,1.074124999999999996e+00
0.000000000000000000e+00,5.000000000000000000e-01,8.080000000000000515e-01
0.000000000000000000e+00,7.500000000000000000e-01,7.206250000000000711e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.120000000000000551e-01
2.500000000000000000e-01,1.000000000000000000e+00,5.899375000000000036e-01
5.000000000000000000e-01,1.000000000000000000e+00,4.197500000000000675e-01
7.500000000000000000e-01,1.000000000000000000e+00,3.014374999999999694e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.349999999999999867e-01
1.000000000000000000e+00,7.500000000000000000e-01,1.548749999999999571e-01
1.000000000000000000e+00,5.000000000000000000e-01,1.584999999999999465e-01
1.000000000000000000e+00,2.500000000000000000e-01,2.458749999999999269e-01
1.000000000000000000e+00,0.000000000000000000e+00,4.169999999999999818e-01
7.500000000000000000e-01,0.000000000000000000e+00,6.030624999999998348e-01
5.000000000000000000e-01,0.000000000000000000e+00,8.487500000000000044e-01
2.500000000000000000e-01,0.000000000000000000e+00,1.154062499999999769e+00
